genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
Romance,,,Mr. Virgin,,2018.0,,
Drama,8.1,105.0,Mukundo,25.0,2000.0,high,60-120
Romance,7.5,138.0,Rajja Rani,22.0,2018.0,high,>120mins
Romance,,,Sushree Sampatti,,2018.0,,
"Documentary, Short, Drama",9.2,7.0,Videos,6.0,2012.0,high,<60
Drama,7.7,,Mitini,7.0,2002.0,high,
"Drama, Family",8.8,126.0,Dying Candle,24.0,2016.0,high,>120mins
Drama,8.2,,Hari,25.0,2018.0,high,
Comedy,,,Lobhi Papi,,1990.0,,
Drama,,105.0,Halkara,,2020.0,,60-120
Romance,,120.0,Nai Nabhannu La 4,,2016.0,,60-120
"Comedy, Drama",8.4,138.0,Gaja Baja,34.0,2018.0,high,>120mins
"Drama, Romance",6.5,,Katha Kathmandu,8.0,2018.0,average,
Drama,6.6,122.0,Hostel Returns,21.0,2015.0,average,>120mins
"Drama, History",6.2,,Seto Bagh,8.0,2015.0,average,
"Drama, Romance",7.7,153.0,Manjari,10.0,2013.0,high,>120mins
"Biography, Drama, Music",8.6,147.0,Acharya,52.0,2011.0,high,>120mins
"Drama, Romance",8.5,,Prasad,33.0,2018.0,high,
"Musical, Romance",6.9,,Ma Yesto Geet Gaauchu,45.0,2017.0,average,
Romance,,142.0,K Ma Timro Sathi Banna Sakchhu,,2012.0,,>120mins
"Drama, Romance",7.9,138.0,Chino,69.0,1991.0,high,>120mins
Romance,,134.0,Nai Nabhannu La 3,,2015.0,,>120mins
"Action, Drama",9.0,,Aama,27.0,1964.0,high,
Drama,8.4,,Kanyadaan,7.0,1991.0,high,
Romance,5.7,116.0,Jerryy,54.0,2014.0,average,60-120
"History, Romance",8.2,,Prem Pinda,41.0,1995.0,high,
Drama,3.3,138.0,Bhairav,19.0,2015.0,low,>120mins
"Drama, Horror",4.9,138.0,Sunkesari,39.0,2018.0,low,>120mins
,7.6,,Siudo Ko Sindoor,7.0,2001.0,high,
"Action, Drama",9.1,112.0,Taandro,26.0,2015.0,high,60-120
Drama,6.6,120.0,Karkhana,7.0,2016.0,average,60-120
"Comedy, Drama",8.2,,Dhanapati,65.0,2017.0,high,
Drama,,20.0,The Butterfly Effects,,,,<60
Drama,,138.0,Kohinoor,,2014.0,,>120mins
Drama,,,Sindoor,,1980.0,,
Romance,5.3,,I Am Sorry,15.0,2012.0,average,
Adventure,8.8,,Himalaya Roadies,21.0,2017.0,high,
Comedy,,,Na Yeta Na Uta,,2019.0,,
Romance,7.4,,Nai Nabhannu La,5.0,2010.0,high,
Short,,10.0,Bato Ma,,2019.0,,<60
"Comedy, Drama",8.2,,America Boys,13.0,2018.0,high,
Drama,,58.0,Ujeli: A Child Bride in Nepal,,1992.0,,<60
"Action, Drama, Romance",,,Samhalinchha Kahile Mann,,,,
Drama,,,Pandit Bajeko Lauri,,2018.0,,
"Documentary, Family, Musical",9.3,59.0,Sunakali,19.0,2017.0,high,<60
"Comedy, Drama, Sci-Fi",8.5,104.0,Bijuli Machine,38.0,2016.0,high,60-120
"Short, Drama",,15.0,Bare Trees in the Mist,,2019.0,,<60
"Drama, Musical",7.0,90.0,Darpan Chhaya,157.0,2001.0,average,60-120
"Comedy, Drama",7.5,,Ta Ta Sarai Bigris Ni Badri,6.0,2000.0,high,
"Short, Drama",,24.0,Kamaro,,2015.0,,<60
"Short, Drama",9.1,17.0,Kafal pakyo,21.0,2014.0,high,<60
Drama,,,Mangalam,,2018.0,,
"Action, Drama",,,Seemana,,1996.0,,
"Biography, Romance",,138.0,Blind Rocks,,2018.0,,>120mins
Documentary,8.6,58.0,Black Buddhas,7.0,2011.0,high,<60
Drama,8.6,138.0,Basudev,23.0,1984.0,high,>120mins
Drama,8.0,,Saino,8.0,1987.0,high,
"Crime, Drama",6.8,111.0,Lappan Chhappan,26.0,2017.0,average,60-120
Drama,8.3,,Saayad 2,6.0,2017.0,high,
Drama,,,Ma Timi Bina Marihalchu,,2008.0,,
"Horror, Mystery, Thriller",,90.0,Kathaputali,,,,60-120
Short,8.3,,Bholi Dekhi Chhodi Dinchhu,9.0,2017.0,high,
"Drama, Romance",7.1,,Fateko Jutta,17.0,2017.0,high,
Drama,,,Classic,,2016.0,,
Drama,7.9,120.0,Masaan,42.0,2011.0,high,60-120
Drama,8.6,,Man ko bandh,8.0,1973.0,high,
Romance,5.2,,Dreams,25.0,2016.0,average,
"Comedy, Drama",6.5,123.0,Jholay,19.0,2014.0,average,>120mins
"Short, Sci-Fi",8.0,,Ozone Layer,7.0,2009.0,high,
"Drama, Romance",8.6,138.0,Gothalo,9.0,1996.0,high,>120mins
Comedy,,,Selfie King,,2020.0,,
Biography,,,Maina,,2008.0,,
Drama,8.0,,Saanghuro,31.0,2013.0,high,
"Drama, Romance",6.4,138.0,Lalpurja,10.0,2018.0,average,>120mins
"Comedy, Drama",7.8,145.0,Purano Dunga,59.0,2016.0,high,>120mins
"Drama, Romance",6.0,132.0,Bato Muniko Phool 2,5.0,2016.0,average,>120mins
"Short, Drama",,,MOTHER -Maa,,2017.0,,
"Drama, Sport",8.9,138.0,Damaruko Dandibiyo,35.0,2018.0,high,>120mins
Reality-TV,,,The Voice of Nepal,,2018.0,,
"Drama, Romance",6.6,138.0,Lily Bily,23.0,2018.0,average,>120mins
"Action, Comedy, Drama",,,Ranveer,,2019.0,,
Drama,,,Sunpani,,2015.0,,
"Comedy, Crime",7.6,125.0,Lukamari,78.0,2016.0,high,>120mins
"Drama, History",6.8,138.0,Panchayat,5.0,2017.0,average,>120mins
"Short, Romance",,,Kutu Ma Kutu,,2017.0,,
Drama,,,Adhikar,,1993.0,,
Drama,8.8,90.0,Basain,23.0,2005.0,high,60-120
Drama,8.4,108.0,Numafung,52.0,2001.0,high,60-120
"Short, Drama",,15.0,Jha lo,,2016.0,,<60
"Drama, Romance",7.6,138.0,Batomuni Ko Phool,8.0,2010.0,high,>120mins
"Short, Drama",8.7,,Pooja,45.0,2010.0,high,
Drama,,98.0,Markyu,,2019.0,,60-120
"Crime, Drama, Thriller",,150.0,Mango Pickle,,,,>120mins
"Action, Comedy, Romance",5.6,136.0,Bir Bikram,47.0,2016.0,average,>120mins
,7.9,,Dasdhunga,9.0,2010.0,high,
Drama,,,Panche Baja,,2018.0,,
Drama,,,Mohani,,1994.0,,
Drama,8.6,,Janma Bhoomi,5.0,1995.0,high,
Romance,6.2,135.0,First Love,37.0,2010.0,average,>120mins
Comedy,,128.0,Raato Ghar,,2017.0,,>120mins
"Drama, Romance",,138.0,Kafal Pakyo,,2016.0,,>120mins
Romance,7.2,161.0,Mero Euta Saathi Cha,88.0,2009.0,high,>120mins
"Comedy, Drama, Mystery",8.1,139.0,Paral Ko Aago,18.0,1978.0,high,>120mins
Drama,,,A Mero Hajur,,2002.0,,
