genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
"Documentary, Short, History",,17.0,Chhintang 2036 B.S.,,2019.0,,<60
Short,,,Duplicity,,2010.0,,
"Short, Musical",,,Thaha Chaina,,2005.0,,
,8.1,,Nepal Pyaro Chha,19.0,2001.0,high,
Thriller,,,Anaagat,,,,
Drama,,,Heroz,,2018.0,,
Drama,,,Hijo Aaja Bholi,,1968.0,,
Drama,,,Maya's Bar,,2012.0,,
,,,Haudey,,2001.0,,
,,,Dhansamphati,,2002.0,,
"Short, Music",,,Bikram Baral: Barai Kayari Bachaulaa,,2018.0,,
Drama,,,Maun,,2013.0,,
Action,,,Hasiya,,2014.0,,
Documentary,,,Khatte: The Choice of Freedom,,2015.0,,
Romance,,,Maya Ta Maya Ho,,2009.0,,
Crime,7.1,,Fitkiree,29.0,2014.0,high,
Romance,,,Janma Janma,,1994.0,,
Action,,125.0,Gorkha Rachhayak,,2009.0,,>120mins
"Short, Music",,6.0,April Rush: Tyo Hawa,,2016.0,,<60
"Documentary, Short",,10.0,Utkarsha: Drive Towards Drug Prevention,,2015.0,,<60
Comedy,,148.0,Producer,,2014.0,,>120mins
Musical,,30.0,Pokhara.com,,2003.0,,<60
Short,,,Sun Ko Pinjada,,2017.0,,
"Documentary, Short, Biography",7.4,37.0,Woman Rebel,23.0,2010.0,high,<60
"Documentary, Short, Drama",,27.0,The Korean Dream,,2013.0,,<60
,6.2,,Afanta,5.0,1999.0,average,
"Drama, Romance",,,Radha,,2016.0,,
Action,,112.0,Deciphering Me,,2014.0,,60-120
Comedy,,127.0,Changa,,2018.0,,>120mins
Short,,,Moving Mountains: The Awakening,,2017.0,,
Short,7.5,,Jaalgedi,8.0,2017.0,high,
"Short, Drama",,15.0,Smoke through a spider web,,2018.0,,<60
Short,,,Bardo,,2019.0,,
"Animation, Action, Crime",6.5,120.0,Mission Paisa,17.0,2009.0,average,60-120
"Documentary, Short",,,Mero Gaon: My Village,,2016.0,,
,,,Black and White Photo,,,,
"Documentary, Short, News",,9.0,Safe Schools: Nepal,,2016.0,,<60
,,,Hateri,,2002.0,,
,,,Maya Baiguni,,2001.0,,
"Drama, Romance",,,Bhagya Rekha,,1989.0,,
Drama,,140.0,The Yug Dekhi Yug Samma,,2009.0,,>120mins
"Action, Comedy, Drama",,111.0,Himalayan Kingdom of Nepal,,2007.0,,60-120
Drama,,115.0,Manko Babari,,2017.0,,60-120
Short,,,Samaya Ra Paristhiti 2,,2017.0,,
,,,Yo Kasto Saino,,2001.0,,
"Short, Family",9.6,3.0,Ma Byujiyepachi,17.0,2015.0,high,<60
"Short, Drama",,16.0,Lachhamaniya,,2017.0,,<60
,7.0,,Mero Hajur,5.0,2002.0,average,
Family,,,Play Pause Stop,,2016.0,,
Drama,,,Gaunki Chhori,,2018.0,,
Drama,,63.0,Vismrit: Forgotten,,2018.0,,60-120
"Documentary, Adventure",,45.0,The Rat Hunters,,2010.0,,<60
"Short, Drama",,,Savitri,,2013.0,,
,,,Timrai Lagi,,2001.0,,
"Documentary, Short, Biography",,24.0,The Walking Hospital,,2011.0,,<60
,,,Pheri Temro Yaad Aayo,,2002.0,,
Drama,7.7,,Ajhai Pani,6.0,2015.0,high,
,,,Sagun,,1998.0,,
,,,Mohani Lagla Hai,,2002.0,,
Drama,8.1,90.0,Jetho Kancha,7.0,2003.0,high,60-120
Drama,,,Love is Life,,2013.0,,
"Documentary, Animation",,106.0,Melmilap,,2017.0,,60-120
Drama,,,Anyay,,1989.0,,
,,,Manmandir,,2002.0,,
"Comedy, Drama",,,Mero Paisa Khoi,,2017.0,,
,8.8,,Maya Namara,8.0,2002.0,high,
"Short, Music",,,Majipa: Birsideu,,2016.0,,
"Documentary, Short, Biography",,24.0,The Shape of Things,,2011.0,,<60
"Short, Musical",,,Sahar Jane Kura Sunera,,2002.0,,
Short,,,Love at First Sight,,2010.0,,
"Documentary, Short",,28.0,Beyond the Waters,,2017.0,,<60
"Short, Musical, Romance",,4.0,Anish Rajbhandari: Changa,,2017.0,,<60
,,,Army,,2001.0,,
Drama,,83.0,The Monk: Lama La,,2016.0,,60-120
"Documentary, Short, News",,39.0,Troubled Water,,2014.0,,<60
"Short, Drama",,28.0,Awaken Eyes,,2008.0,,<60
"Short, Musical",,,Yatra Ma Bhetera,,2000.0,,
,,,Malai Maaf Garidau,,2002.0,,
Short,,,Breaking Walls,,2016.0,,
"Documentary, Short",,30.0,Timber to Tibet,,2006.0,,<60
"Documentary, Adventure",,52.0,Tashi's Turbine,,2015.0,,<60
Drama,,,Bhuimanchhe,,2017.0,,
Short,,14.0,Chame and Thame,,2014.0,,<60
"Short, Drama",7.2,34.0,Nabarsiyeki Jhari,10.0,2006.0,high,<60
"Drama, Family",,60.0,Aamako Man,,2018.0,,<60
Short,,,Surya Ply,,2003.0,,
"Short, Musical",,2.0,Sex Ed,,2015.0,,<60
Documentary,,,Where Have All The Smiles Gone,,,,
"Documentary, Adventure",,26.0,Dancing on the Fire: Khali Khaney,,2011.0,,<60
Short,,7.0,Remembering Tarkovsky,,2016.0,,<60
Short,,,Chyatiyeko Note (A Day with Rs 100),,2010.0,,
"Short, Music, Musical",6.6,5.0,Ujwal Bhandari: K dosh thiyo...,5.0,2006.0,average,<60
Thriller,,,Butterfly (colors of love),,2018.0,,
Short,,,Audition,,2012.0,,
"Documentary, Short, Adventure",,23.0,NOMADS BUT NOT...,,2014.0,,<60
Biography,,,Maxx,,,,
"Short, Drama",,31.0,Prarabdha,,2013.0,,<60
"Short, Comedy, Drama",,10.0,The Knot,,2014.0,,<60
"Documentary, War",,100.0,Beneath Everest: Nepal Reborn,,2010.0,,60-120
Drama,,,Sapana,,1993.0,,
"Short, Romance",,,Kati Dherai,,2015.0,,
Drama,,,So Simple,,2012.0,,
"Short, Drama",,15.0,They Call It Love,,2012.0,,<60
"Short, Musical",,5.0,The Outsider's Band: Maili,,2016.0,,<60
"Short, Drama, Family",,6.0,z,,2017.0,,<60
,,,Raanko,,1996.0,,
Action,,,Premnath,,,,
"Documentary, Biography",,,Mahakabi Devkota,,2001.0,,
,,,Ajambhari Maya,,2002.0,,
Documentary,,50.0,The Touched,,2011.0,,<60
"Documentary, Adventure, Drama",,28.0,UnShattered Desires,,2016.0,,<60
"Short, Crime, Mystery",,20.0,Parikshya,,2017.0,,<60
"Drama, Mystery, Romance",,89.0,The Palmist,,2014.0,,60-120
Drama,,180.0,Kutumberi Saino,,2017.0,,>120mins
,,,Mr. Mangale,,2008.0,,
"Short, Music",,,Kehi Mitho Yaadma,,2018.0,,
Drama,,,Gold Coast 2 Ghorka,,2019.0,,
"Action, Romance",,,Soltini,,2005.0,,
"Short, Music",,,Yo Raat Behoshi Yo Bata Behoshi,,2018.0,,
"Short, Horror",,,Voex,,,,
"Documentary, Short",,,Choor: Here,,2013.0,,
"Short, Drama",,,Bhai Tika,,2016.0,,
"Musical, Romance",,66.0,Gaajal,,2001.0,,60-120
Documentary,,16.0,The Way To Heaven,,2017.0,,<60
,8.6,,Aashirbad,5.0,2001.0,high,
"Short, Drama, Family",,8.0,K Desh Doshi Cha?,,2014.0,,<60
"Documentary, Short, Adventure",,14.0,Remember Humla,,2013.0,,<60
,,,Natedar,,2001.0,,
Documentary,,,Kakhara,,2016.0,,
"Short, Crime, Drama",,9.0,The Designer,,2015.0,,<60
"Documentary, Short",,25.0,A Walk to Manang,,2009.0,,<60
Documentary,,,A Rough Cut on the Life and Times of Lachuman Magar,,2001.0,,
,,,Daiva Sanjog,,2001.0,,
"Documentary, Short",,40.0,The Man Who Died Once,,2018.0,,<60
Documentary,,90.0,The Copper Village,,2015.0,,60-120
,,,Melong,,2002.0,,
"Short, Music",,,A Mayalu Timi Lai,,2018.0,,
"Short, Drama",6.8,30.0,Chaukaith,9.0,2008.0,average,<60
"Short, Fantasy",8.5,,Fever,8.0,2009.0,high,
"Short, Drama",,14.0,Kubaato,,2007.0,,<60
"Short, Drama",,,Paani,,2015.0,,
,,,Sanyas,,2002.0,,
"Short, Drama",8.3,27.0,Ma Khushi Chu,26.0,2011.0,high,<60
"Short, Music",,4.0,Young Torture: Namarosh Hamro Maya,,2015.0,,<60
"Comedy, Drama, Romance",,21.0,P.S. Zindagi,,2016.0,,<60
"Documentary, Short",,9.0,Threads of Hope,,2017.0,,<60
Documentary,,89.0,Tama Gaun: The Copper VIllage,,2015.0,,60-120
Talk-Show,,29.0,Oscar Fun Talk,,2010.0,,<60
"Short, Drama",,8.0,Pralobhan,,2015.0,,<60
"Short, Musical",,5.0,Hero,,2018.0,,<60
"Short, Drama",7.4,25.0,Saas Fere Jasto Lagcha,9.0,2012.0,high,<60
"Short, Action, Western",,2.0,Red Bull Vs. Monster,,2011.0,,<60
,,,Pooja,,2002.0,,
Documentary,,,Kumari: The Jagat Lama Story,,2014.0,,
"Short, Musical",,,Hridya Chune,,2005.0,,
"Short, Drama",,,Waiting Room,,2011.0,,
"Short, Musical",,,Jindagi Ko Har Mod Ma,,2008.0,,
Short,,,Hundred Rupees,,,,
"Short, Drama",,9.0,Evening days,,2016.0,,<60
"Short, Music",,5.0,Mani Tamang feat. Subani Moktan: Timrai Lagi,,2016.0,,<60
"Documentary, Short, Family",,34.0,68 Members,,2014.0,,<60
Documentary,,62.0,Saving Dolma,,2010.0,,60-120
"Documentary, Short",,18.0,Betterfelt.com,,2010.0,,<60
Short,,,Pahichan,,2018.0,,
Drama,,120.0,Vedi Gothale,,2016.0,,60-120
"Action, Drama",,137.0,Bhariya,,1996.0,,>120mins
Music,,,Santushti,,2015.0,,
"Documentary, Short",,,A day in the life of kanchi,,2016.0,,
Short,,15.0,The Eternal Journey,,2016.0,,<60
"Short, Music",,3.0,U Got Me,,2017.0,,<60
"Documentary, Adventure, History",,58.0,Talking to the Air: Horses of the Last Forbidden Kingdom,,2014.0,,<60
,,,Maya Ko Saino,,2001.0,,
"Documentary, Short",,25.0,Journey Beyond the Himalayas,,2009.0,,<60
"Documentary, Short",,27.0,Madhesi,,2017.0,,<60
Documentary,,85.0,In Search of the Riyal,,2009.0,,60-120
Drama,,,Aastha,,,,
"Documentary, Short, Drama",,30.0,The Sound of One Leg Dancing,,2011.0,,<60
,9.0,,Bakshis,5.0,2002.0,high,
"Short, Drama",8.1,7.0,Pralobhan,9.0,2015.0,high,<60
"Action, Drama",,,Mamaghar,,2002.0,,
"Documentary, Short, Adventure",,30.0,Life on the Road Nepal,,2017.0,,<60
Documentary,,56.0,Daughters of Everest,,2006.0,,<60
,,,Baimani,,2001.0,,
Talk-Show,,30.0,Talk of the town USA,,2015.0,,<60
"Documentary, Short",,22.0,Denied: A Life Confined,,2013.0,,<60
"Documentary, Short",,38.0,The Spirit Doesn't Come Anymore,,1997.0,,<60
"Documentary, Short",,10.0,Scaling the Mountain,,2014.0,,<60
"Animation, Short, Family",,28.0,Yesarinai Aaru Phulchha,,2011.0,,<60
"Documentary, Short, History",,26.0,Festival of Tihar,,2018.0,,<60
,7.3,,Ke Bho Lau Na Ni,6.0,2001.0,high,
Short,7.3,6.0,Samaya Ra Paristhiti,6.0,2014.0,high,<60
,,,Pijanda,,2002.0,,
Short,,2.0,Eve Teasing,,2015.0,,<60
"Short, Musical",,,Palla Ghar Ko Jhyal Ma,,2003.0,,
,,,Baacha Bandhan,,2002.0,,
Drama,,,Rolpa Rog,,2016.0,,
"Documentary, Drama",8.4,117.0,Riingata,7.0,2015.0,high,60-120
Reality-TV,,60.0,Nepal Talent Hunt,,2018.0,,<60
"Short, Action, Adventure",,15.0,The Blessing,,2015.0,,<60
Drama,,,Suruwaat: Euta Naya Jiwan,,2012.0,,
"Short, Drama",,12.0,Memory,,2017.0,,<60
"Short, Musical",,,Gaun Ramililo,,2006.0,,
Short,,13.0,Bhatbhate,,2016.0,,<60
"Documentary, Short",,,Moving Mountains,,2015.0,,
"Drama, Romance",,,Dui Kinara,,2003.0,,
,7.8,,Nata Ragat Ko,9.0,1999.0,high,
"Short, Thriller",,5.0,The Lost Locket,,2018.0,,<60
"Short, Drama, Sci-Fi",6.5,3.0,The Last Evening on Earth,6.0,2015.0,average,<60
,,,Sannani,,1994.0,,
,,,Tapasya,,1991.0,,
Documentary,,18.0,Gyalmu's House,,2016.0,,<60
Drama,,,Rajamati,,1995.0,,
"Short, Drama",,14.0,Hiccups,,2017.0,,<60
"Short, Comedy",,13.0,The Great Mukhiya,,2017.0,,<60
Short,,12.0,Idiosyncratic,,2019.0,,<60
"Short, Drama, Family",,2.0,"Sex, Partying & Peer Pressure",,2015.0,,<60
"Documentary, Short",,17.0,Gold in the Ashes,,2017.0,,<60
"Documentary, Short",,13.0,Child Centre Out of School Program,,2005.0,,<60
"Short, Biography",,2.0,Chungi (Colours Of Life),,2015.0,,<60
Short,,,Purpose of Living,,,,
,8.3,,Khandan,6.0,2002.0,high,
"Short, Musical",,,Nilo Aakash,,2006.0,,
,,,Bhagya Le Jurayo,,2002.0,,
"Short, Drama",,9.0,Euphues,,2017.0,,<60
"Drama, Romance",,,Punte Parade,,2014.0,,
Drama,,,Fulai Fulko Mausam Timilai,,2016.0,,
"Documentary, Family",,21.0,Supportive Men,,2014.0,,<60
Drama,,,Alpaviram,,2006.0,,
Drama,,,Bhor,,2018.0,,
Documentary,,77.0,Heavenly Place Manang,,2005.0,,60-120
"Short, Drama",,,Sparsa,,2012.0,,
Drama,,,Patachara,,2009.0,,
"Short, Drama",,15.0,Silver Bangles,,2017.0,,<60
,,,Kaidi,,2001.0,,
"Short, Music",,,Ko Hola Tyo,,2012.0,,
Short,,17.0,Crow in the Mist,,2017.0,,<60
"Documentary, Short",,21.0,Disenchanted Cinema,,2017.0,,<60
"Short, Musical",,,Bihani Ko Mirmere,,2003.0,,
Documentary,,30.0,Misheal pariyar,,2018.0,,<60
"Music, Romance",,,Aavas,,2016.0,,
"Documentary, Short, History",,36.0,In the Shadow of Darjeeling,,2011.0,,<60
"Short, Drama",,,Batuli Ko Chura,,2013.0,,
"Animation, Short, Family",,4.0,Aaroha: Rising Together,,2015.0,,<60
"Crime, Drama",,138.0,Shree 5 Ambare,,2014.0,,>120mins
"Documentary, Short",,,Peaks of Emotion: The Children of Ocean Nepal,,2017.0,,
"Action, Thriller",,,Chakre,,,,
,,,Pirati Aafai Hudon Rahechha,,2001.0,,
,,,Ragat,,1995.0,,
"Short, Music",,4.0,Young Torture: Ek Phera Hasana,,2014.0,,<60
"Documentary, Biography, Drama",,54.0,The Price of Childhood,,2010.0,,<60
"Documentary, History",,39.0,"Mani, the Hidden Valley of Happiness at a Crossroads",,2013.0,,<60
Drama,,,Dukha,,2003.0,,
"Documentary, Short, Biography",,6.0,The Hermit's Tea Party,,2012.0,,<60
Short,,3.0,Lekhirahada,,2014.0,,<60
Short,,,The Making of Himalaya DVD Extra,,2000.0,,
Musical,,,Ma Yesto Geet Gauchu,,,,
Documentary,8.5,90.0,Mustang Secrets Beyond the Himalayas,12.0,2009.0,high,60-120
"Short, Drama",,20.0,Chokhaunee,,2013.0,,<60
"Short, Drama",8.6,,Khaacho,8.0,2018.0,high,
"Documentary, Short",,13.0,Quality Education Resource,,2005.0,,<60
Documentary,,51.0,Sa Karnali,,2006.0,,<60
Drama,,,Duniya,,2006.0,,
Game-Show,,,Champion,,2016.0,,
"Short, Drama",,11.0,Kokh,,2017.0,,<60
Drama,,,Premalaya,,,,
Documentary,,52.0,Daughters' Destiny,,2007.0,,<60
Drama,,,Parivartan,,1971.0,,
"Short, Biography, Drama",,6.0,The Solitude,,2011.0,,<60
,,,Sahid Gate,,2002.0,,
Drama,8.9,,Singha Durbar,9.0,2015.0,high,
"Short, Action, Drama",,1.0,Strike,,2017.0,,<60
"Short, Drama, Family",,13.0,Shambhala,,2014.0,,<60
,,,Yastai Rahecha Jindagi,,2002.0,,
"Short, Drama",,,Akinchn,,2018.0,,
"Documentary, Short",,29.0,"Foundation for Hope: Year One of Relief, Recovery and Reconstruction in Nepal",,2016.0,,<60
"Short, Drama",,38.0,Hotel Elam,,2017.0,,<60
Short,,,Eviction,,2006.0,,
"Short, Drama",,,Rog,,2012.0,,
,,,BabuSaheb,,2002.0,,
"Short, Music",,7.0,Namari Baanchey,,2018.0,,<60
"Short, Drama",,,Ghar Desh,,2013.0,,
"Documentary, Short",,19.0,Dependent Life,,2019.0,,<60
,,,Bhai Tika,,2002.0,,
"Documentary, Short",,3.0,Kathmandu Nepal Durbar,,2015.0,,<60
Drama,,,Cheli Beti,,1989.0,,
,,,Shadhyantra,,2002.0,,
"Short, Drama, Family",,10.0,Bibash,,2014.0,,<60
"Comedy, Drama",5.9,,Chha Ekan Chha,16.0,2014.0,average,
"Short, Drama",,9.0,Rage: Aakrosh,,2015.0,,<60
"Short, Drama, Romance",,,The Path to Fool's Paradise,,2017.0,,
"Short, Adventure, Drama",,5.0,Kagaj,,2012.0,,<60
Short,,1.0,Hope Remains,,2014.0,,<60
Documentary,,,Durgamandu,,2017.0,,
"Short, Drama",,10.0,Prem Apradha,,2014.0,,<60
Drama,,,Janayuddha,,2008.0,,
"Short, Music",,,Jun Hau Timi Phool Hau Timi,,2018.0,,
"Documentary, Short, History",,25.0,Secreat tree: The Birth of Buddha,,2009.0,,<60
,,,Dulahi,,2001.0,,
"Documentary, Short",,11.0,Khel,,2013.0,,<60
,,,Anjuli,,2002.0,,
Drama,,,Love U Man,,2012.0,,
,,,Mahadevi,,1993.0,,
Drama,,,Aago 2,,2015.0,,
Drama,,,Kumva Karan,,2018.0,,
"Short, Drama",,,Naya Jhul,,2016.0,,
"Short, Drama",,8.0,The Moon,,2015.0,,<60
"Short, Family",,,Khushi,,2011.0,,
"Short, Drama",,15.0,Omitted Project,,2017.0,,<60
Comedy,,130.0,Dui Duna Pannch,,2012.0,,>120mins
"Documentary, Short",,11.0,Children as Partners in Girl's Education,,2005.0,,<60
"Animation, Short",,,Life is Just a File,,2015.0,,
"Documentary, Short",,20.0,Bigu,,2010.0,,<60
"Short, Drama",,,A Drop of Hope,,2011.0,,
Action,,,La Sorry,,2016.0,,
Documentary,,52.0,Schools in the Crossfire,,2006.0,,<60
Drama,,,Birano Mayo,,2016.0,,
"Documentary, Short, Adventure",,22.0,Hearts in the Himalayas,,2012.0,,<60
Short,,1.0,If Men Had Periods: Purushpad,,2017.0,,<60
Comedy,8.7,,The Faaadi Guys Show,7.0,2017.0,high,
Talk-Show,,,Nepal Music Festival 2014,,2014.0,,
"Short, Drama",,,Untitled Buddha Film in Nepal,,,,
"Documentary, Short",,11.0,Mission Rebuild Nepal Stories,,2016.0,,<60
Thriller,,100.0,Queen of the Himalayas,,,,60-120
Drama,,,Adhyaya,,2013.0,,
Family,,47.0,Asamajhdari,,2016.0,,<60
"Short, Action",,,The Message,,2013.0,,
"Documentary, Short",,5.0,Refuse,,2014.0,,<60
"Documentary, Short",,19.0,Seams,,2017.0,,<60
,,,Mama Bhanja,,2002.0,,
,,,Santan Ko Maya,,2002.0,,
Drama,,,Best Friends Forever,,2016.0,,
"Short, Music",,,Ganesh Senchuri: Fanfani,,2017.0,,
,,,Bihani,,2001.0,,
"Short, Musical",,4.0,Swarga Yahan,,2010.0,,<60
"Documentary, Short",9.0,30.0,Secrets of Dhaulagiri,8.0,2011.0,high,<60
"Documentary, Short",,29.0,Adolescent Sexual and Reproductive Health,,2009.0,,<60
,,,Malati,,2002.0,,
Drama,,,Acceptance,,,,
Documentary,,49.0,We Corner People,,2007.0,,<60
"Short, Drama, Family",,12.0,Rupees 500,,2014.0,,<60
Drama,,,Woolenmary,,,,
,,,Sauta,,1993.0,,
"Short, Drama",,4.0,I am Always There For you,,2014.0,,<60
Drama,,,Maya Preeti,,1989.0,,
"Documentary, Short, Drama",,15.0,Ghar,,2016.0,,<60
"Short, Mystery, Romance",,8.0,Virtual Dream,,2014.0,,<60
"Short, Music",,,Jeevan Yo Rahe Samma,,2019.0,,
Short,,,Mother,,2019.0,,
,8.4,,Prithvi,5.0,1994.0,high,
Musical,,,Rock Band,,,,
"Short, Drama",,13.0,Punte ko Pangro,,2014.0,,<60
"Documentary, Short, Adventure",,11.0,The Milk Man,,2016.0,,<60
Drama,,,Naso,,1997.0,,
"Short, Drama",,,Comma: Alpabiram,,2015.0,,
Musical,,30.0, Pokhara.com,,2003.0,,<60
Musical,,30.0, Pokhara.com,,2003.0,,<60
Musical,,30.0, Pokhara.com,,2003.0,,<60
Musical,,, Pokhara.com,,2003.0,,
"Documentary, Short",,, Herne Katha,,2018.0,,
